Site,Longitude,Latitude,Var1
IsleOfMay,-1.387129043,55.5123437,-657.8133833
IsleOfMay,-1.378792931,55.5123437,-690.5351706
IsleOfMay,-1.603867956,55.52067971,-83.84760668
IsleOfMay,-1.595531844,55.52067971,-94.08870615
IsleOfMay,-1.587195732,55.52067971,-105.1865452
IsleOfMay,-1.57885962,55.52067971,-117.1688254
IsleOfMay,-1.570523508,55.52067971,-130.0631396
IsleOfMay,-1.562187396,55.52067971,-143.8955533
IsleOfMay,-1.553851284,55.52067971,-158.6894023
IsleOfMay,-1.545515172,55.52067971,-174.4640681
IsleOfMay,-1.53717906,55.52067971,-191.2335089
IsleOfMay,-1.528842948,55.52067971,-209.0057845
IsleOfMay,-1.520506836,55.52067971,-227.7847853
IsleOfMay,-1.512170724,55.52067971,-247.572516
IsleOfMay,-1.503834612,55.52067971,-268.3702922
IsleOfMay,-1.495498499,55.52067971,-290.1781661
IsleOfMay,-1.487162387,55.52067971,-312.990517
IsleOfMay,-1.478826275,55.52067971,-336.791229
IsleOfMay,-1.470490163,55.52067971,-361.5554093
IsleOfMay,-1.462154051,55.52067971,-387.2543169
IsleOfMay,-1.453817939,55.52067971,-413.8566267
IsleOfMay,-1.445481827,55.52067971,-441.3198041
IsleOfMay,-1.437145715,55.52067971,-469.6014949
IsleOfMay,-1.428809603,55.52067971,-498.6627382
IsleOfMay,-1.420473491,55.52067971,-528.4654862
IsleOfMay,-1.412137379,55.52067971,-558.9718639
IsleOfMay,-1.403801267,55.52067971,-590.1441064
IsleOfMay,-1.395465155,55.52067971,-621.9441393
IsleOfMay,-1.387129043,55.52067971,-654.3326256
IsleOfMay,-1.378792931,55.52067971,-687.2678982
IsleOfMay,-1.370456819,55.52067971,-720.705346
IsleOfMay,-1.362120707,55.52067971,-754.5975362
IsleOfMay,-1.612204068,55.52901571,-70.36846629
IsleOfMay,-1.603867956,55.52901571,-79.67582486
IsleOfMay,-1.595531844,55.52901571,-89.82717298
IsleOfMay,-1.587195732,55.52901571,-100.8471673
IsleOfMay,-1.57885962,55.52901571,-112.7631494
IsleOfMay,-1.570523508,55.52901571,-125.6023252
IsleOfMay,-1.562187396,55.52901571,-139.3900907
IsleOfMay,-1.553851284,55.52901571,-154.1486453
IsleOfMay,-1.545515172,55.52901571,-169.895789
IsleOfMay,-1.53717906,55.52901571,-186.6441332
IsleOfMay,-1.528842948,55.52901571,-204.4012368
IsleOfMay,-1.520506836,55.52901571,-223.1709025
IsleOfMay,-1.512170724,55.52901571,-242.9551276
IsleOfMay,-1.503834612,55.52901571,-263.7562729
IsleOfMay,-1.495498499,55.52901571,-285.5789405
IsleOfMay,-1.487162387,55.52901571,-308.4221329
IsleOfMay,-1.478826275,55.52901571,-332.2634658
IsleOfMay,-1.470490163,55.52901571,-357.0736154
IsleOfMay,-1.462154051,55.52901571,-382.8265306
IsleOfMay,-1.453817939,55.52901571,-409.5023679
IsleOfMay,-1.445481827,55.52901571,-437.0518212
IsleOfMay,-1.437145715,55.52901571,-465.4322574
IsleOfMay,-1.428809603,55.52901571,-494.6048098
IsleOfMay,-1.420473491,55.52901571,-524.5317111
IsleOfMay,-1.412137379,55.52901571,-555.1758786
IsleOfMay,-1.403801267,55.52901571,-586.5007511
IsleOfMay,-1.395465155,55.52901571,-618.4696185
IsleOfMay,-1.387129043,55.52901571,-651.044172
IsleOfMay,-1.378792931,55.52901571,-684.1827966
IsleOfMay,-1.370456819,55.52901571,-717.8396444
IsleOfMay,-1.362120707,55.52901571,-751.9650318
IsleOfMay,-1.353784595,55.52901571,-786.5067264
IsleOfMay,-1.345448483,55.52901571,-821.4112663
IsleOfMay,-1.628876292,55.53735172,-50.70675826
IsleOfMay,-1.62054018,55.53735172,-58.29413609
IsleOfMay,-1.612204068,55.53735172,-66.66082885
IsleOfMay,-1.603867956,55.53735172,-75.86049356
IsleOfMay,-1.595531844,55.53735172,-85.91687484
IsleOfMay,-1.587195732,55.53735172,-96.85398693
IsleOfMay,-1.57885962,55.53735172,-108.6988619
IsleOfMay,-1.570523508,55.53735172,-121.4785141
IsleOfMay,-1.562187396,55.53735172,-135.2179998
IsleOfMay,-1.553851284,55.53735172,-149.9388071
IsleOfMay,-1.545515172,55.53735172,-165.6575679
IsleOfMay,-1.53717906,55.53735172,-182.3855743
IsleOfMay,-1.528842948,55.53735172,-200.1292714
IsleOfMay,-1.520506836,55.53735172,-218.8915502
IsleOfMay,-1.512170724,55.53735172,-238.6735717
IsleOfMay,-1.503834612,55.53735172,-259.4771972
IsleOfMay,-1.495498499,55.53735172,-281.3097998
IsleOfMay,-1.487162387,55.53735172,-304.1822375
IsleOfMay,-1.478826275,55.53735172,-328.0603558
IsleOfMay,-1.470490163,55.53735172,-352.9135001
IsleOfMay,-1.462154051,55.53735172,-378.7181638
IsleOfMay,-1.453817939,55.53735172,-405.4494898
IsleOfMay,-1.445481827,55.53735172,-433.0682373
IsleOfMay,-1.437145715,55.53735172,-461.5324549
IsleOfMay,-1.428809603,55.53735172,-490.8025097
IsleOfMay,-1.420473491,55.53735172,-520.8402176
IsleOfMay,-1.412137379,55.53735172,-551.6087573
IsleOfMay,-1.403801267,55.53735172,-583.0726686
IsleOfMay,-1.395465155,55.53735172,-615.1971283
IsleOfMay,-1.387129043,55.53735172,-647.945723
IsleOfMay,-1.378792931,55.53735172,-681.2773895
IsleOfMay,-1.370456819,55.53735172,-715.1448087
IsleOfMay,-1.362120707,55.53735172,-749.4953952
IsleOfMay,-1.353784595,55.53735172,-784.2737454
IsleOfMay,-1.345448483,55.53735172,-819.4235816
IsleOfMay,-1.337112371,55.53735172,-854.8886639
IsleOfMay,-1.628876292,55.54568772,-47.6060473
IsleOfMay,-1.62054018,55.54568772,-55.0676111
IsleOfMay,-1.612204068,55.54568772,-63.31751247
IsleOfMay,-1.603867956,55.54568772,-72.40576987
